locus_tag,n_tested,n_up,pct_up
PMM0331,3,0,0.0
PMM0332,2,0,0.0
PMM0333,3,1,33.333333333333336
PMM0334,2,2,100.0
PMM0335,2,0,0.0
PMM0336,3,3,100.0
PMM0337,2,2,100.0
PMM0338,3,1,33.333333333333336
PMM0339,3,1,33.333333333333336
PMM0340,3,0,0.0
PMM0341,3,1,33.333333333333336
PMM0342,2,1,50.0
PMM0343,3,2,66.66666666666667
PMM0344,3,0,0.0
PMM0345,3,0,0.0
PMM0346,3,0,0.0
PMM0347,2,1,50.0
PMM0348,3,1,33.333333333333336
PMM0349,2,1,50.0
PMM0350,2,0,0.0
PMM0351,3,1,33.333333333333336
PMM0352,2,0,0.0
PMM0353,3,0,0.0
PMM0354,2,0,0.0
PMM0355,3,0,0.0
PMM0356,3,0,0.0
PMM0357,2,0,0.0
PMM0358,2,0,0.0
PMM0359,2,2,100.0
PMM0360,2,2,100.0
PMM0361,3,1,33.333333333333336
PMM0362,2,0,0.0
PMM0363,3,2,66.66666666666667
PMM0364,3,2,66.66666666666667
PMM0365,3,3,100.0
PMM0366,3,0,0.0
PMM0367,3,0,0.0
PMM0368,3,3,100.0
PMM0369,2,1,50.0
PMM0374,2,2,100.0
PMM0375,2,0,0.0
PMM0376,3,0,0.0
PMM0377,3,0,0.0
PMM0378,3,1,33.333333333333336
PMM0379,3,0,0.0
PMM0380,3,0,0.0
PMM0381,2,0,0.0
PMM0382,3,0,0.0
PMM0383,3,1,33.333333333333336
PMM0384,3,0,0.0
PMM0386,3,0,0.0
PMM0387,3,1,33.333333333333336
PMM0388,3,0,0.0
PMM0389,3,0,0.0
PMM0390,3,0,0.0
PMM0391,3,1,33.333333333333336
PMM0392,3,0,0.0
PMM0394,3,0,0.0
PMM0395,3,1,33.333333333333336
PMM0396,3,0,0.0
PMM0397,3,0,0.0
PMM0398,3,0,0.0
PMM0399,3,0,0.0
PMM0400,3,0,0.0
PMM0401,3,0,0.0
PMM0402,3,0,0.0
PMM0403,3,0,0.0
PMM0404,2,0,0.0
PMM0405,3,0,0.0
PMM0406,3,0,0.0
PMM0407,3,0,0.0
PMM0408,3,0,0.0
PMM0409,3,0,0.0
PMM0410,3,0,0.0
PMM0411,2,0,0.0
PMM0412,3,0,0.0
PMM0413,3,0,0.0
PMM0414,3,0,0.0
PMM0415,3,0,0.0
PMM0416,3,0,0.0
PMM0417,2,0,0.0
PMM0418,3,0,0.0
PMM0419,3,1,33.333333333333336
PMM0420,3,1,33.333333333333336
PMM0421,3,0,0.0
PMM0422,3,1,33.333333333333336
PMM0423,2,0,0.0
PMM0424,2,0,0.0
PMM0425,3,0,0.0
PMM0426,3,1,33.333333333333336
PMM0427,3,0,0.0
PMM0428,3,0,0.0
PMM0429,2,0,0.0
PMM0430,3,0,0.0
PMM0431,3,0,0.0
PMM0432,2,2,100.0
PMM0433,3,1,33.333333333333336
PMM0434,3,0,0.0
PMM0435,3,0,0.0
PMM0436,3,0,0.0
PMM0437,3,0,0.0
PMM0438,3,0,0.0
