n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
N,amtB/amt1,Prochlorococcus MIT9313,PMT1853,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,2.21911420307216,0.01,significant_up
N,amtB/amt1,Prochlorococcus MIT9313,PMT1853,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,2.19273761141333,0.01,significant_up
N,amtB/amt1,Prochlorococcus MIT9313,PMT1853,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,2.08669928083333,0.01,significant_up
P,arsR,Prochlorococcus MIT9313,PMT1001,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-2.082663981,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0993,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,2.07651177865788,0.01,significant_up
N,nadB,Prochlorococcus MIT9313,PMT0177,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-2.05047486447968,0.01,significant_down
N,glnA,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,2.03050177230425,0.01,significant_up
P,phnC,Prochlorococcus MIT9313,PMT0781,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-2.008258828,1.0,not_significant
N,urtA,Prochlorococcus MIT9313,PMT2229,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,1.99898939076442,0.01,significant_up
N,ntcA,Prochlorococcus MIT9313,PMT1831,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,1.941622064,1.0,not_significant
N,urtE,Prochlorococcus MIT9313,PMT2225,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-1.835982216,1.0,not_significant
N,nadB,Prochlorococcus MIT9313,PMT0177,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-1.7917516787757,0.01,significant_down
P,phoR,Prochlorococcus MIT9313,PMT_0997,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-1.739883522,1.0,not_significant
N,glsF,Prochlorococcus MIT9313,PMT1777,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-1.72775858518919,0.01,significant_down
N,glnA,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,1.72452021817924,0.01,significant_up
P,pstS,Prochlorococcus MIT9313,PMT0508,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,1.67741235188956,0.01,significant_up
N,natF,Prochlorococcus MIT9313,PMT0897,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-1.63629330646936,0.01,significant_down
P,phoB,Prochlorococcus MIT9313,PMT0994,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,1.57084887054259,0.01,significant_up
N,ureD,Prochlorococcus MIT9313,PMT2233,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-1.565906498,1.0,not_significant
N,glnA,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,1.54235498903119,0.01,significant_up
N,gdhA,Prochlorococcus MIT9313,PMT0623,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-1.493378508,1.0,not_significant
N,urtE,Prochlorococcus MIT9313,PMT2225,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-1.431272861,1.0,not_significant
P,phnC,Prochlorococcus MIT9313,PMT0781,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-1.380014513,1.0,not_significant
P,pstA,Prochlorococcus MIT9313,PMT0043,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-1.37673958704467,0.01,significant_down
N,thiO,Prochlorococcus MIT9313,PMT2140,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-1.373728334,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0993,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,1.33856758195113,0.01,significant_up
P,phnD,Prochlorococcus MIT9313,PMT0780,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-1.338309456,1.0,not_significant
P,sqdB,Prochlorococcus MIT9313,PMT0050,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-1.32314353569124,0.01,significant_down
P,phoR,Prochlorococcus MIT9313,PMT_0996,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,1.305562625,1.0,not_significant
N,amtB/amt1,Prochlorococcus MIT9313,PMT1853,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,1.297411992,1.0,not_significant
N,focA,Prochlorococcus MIT9313,PMT2240,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,1.297101156,1.0,not_significant
N,ureE,Prochlorococcus MIT9313,PMT2232,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,1.289938836,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0997,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-1.186815864,1.0,not_significant
N,nadB,Prochlorococcus MIT9313,PMT0177,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-1.141192978,1.0,not_significant
P,gap3,Prochlorococcus MIT9313,PMT1000,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-1.121736513,1.0,not_significant
P,phnE,Prochlorococcus MIT9313,PMT0782,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-1.119530805,1.0,not_significant
N,ureD,Prochlorococcus MIT9313,PMT2233,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-1.111248883,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0508,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,1.106466744,1.0,not_significant
P,phnC,Prochlorococcus MIT9313,PMT0781,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-1.079213321,1.0,not_significant
P,gap3,Prochlorococcus MIT9313,PMT1000,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,1.077375783,1.0,not_significant
N,ureA,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,1.05550344551044,0.01,significant_up
N,glnA,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,1.009663902,1.0,not_significant
N,glsF,Prochlorococcus MIT9313,PMT1777,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.98626318,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0995,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.940642254,1.0,not_significant
N,ureD,Prochlorococcus MIT9313,PMT2233,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.920971406,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1275,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-0.906653428999362,0.01,significant_down
N,urtC,Prochlorococcus MIT9313,PMT2227,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-0.881273296,1.0,not_significant
N,natG,Prochlorococcus MIT9313,PMT0896,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.855949632,1.0,not_significant
N,ureA,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.831582294,1.0,not_significant
P,sqdB,Prochlorococcus MIT9313,PMT0050,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.81931792340572,0.01,significant_down
N,urtA,Prochlorococcus MIT9313,PMT2229,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.791342095,1.0,not_significant
N,ureA,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.789840475,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0997,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.780556089,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1275,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.755925543,1.0,not_significant
P,phnD,Prochlorococcus MIT9313,PMT0780,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.749965746,1.0,not_significant
N,nadB,Prochlorococcus MIT9313,PMT0177,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.726679854,1.0,not_significant
N,ureC,Prochlorococcus MIT9313,PMT2236,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.719212281,1.0,not_significant
N,ureE,Prochlorococcus MIT9313,PMT2232,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.714838597,1.0,not_significant
N,ureA,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.71341191,1.0,not_significant
N,urtC,Prochlorococcus MIT9313,PMT2227,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.690088934,1.0,not_significant
N,ureB,Prochlorococcus MIT9313,PMT2235,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.67276527,1.0,not_significant
N,ureB,Prochlorococcus MIT9313,PMT2235,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.665400569949206,0.01,significant_up
P,pstA,Prochlorococcus MIT9313,PMT0043,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.663104681,1.0,not_significant
N,glsF,Prochlorococcus MIT9313,PMT1777,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.661477736,1.0,not_significant
P,phoB,Prochlorococcus MIT9313,PMT0994,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.657745702,1.0,not_significant
P,pstC,Prochlorococcus MIT9313,PMT0702,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-0.652226959,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0996,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.643744133,1.0,not_significant
N,ureC,Prochlorococcus MIT9313,PMT2236,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.642713513933882,0.01,significant_up
N,natG,Prochlorococcus MIT9313,PMT0896,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.627425597,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0997,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.60850908,1.0,not_significant
N,nadB,Prochlorococcus MIT9313,PMT0177,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.594567742,1.0,not_significant
P,phnC,Prochlorococcus MIT9313,PMT0781,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.594250439,1.0,not_significant
N,urtD,Prochlorococcus MIT9313,PMT2226,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-0.585033504,1.0,not_significant
P,phnD,Prochlorococcus MIT9313,PMT0780,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.567270261,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1257,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.567010729,1.0,not_significant
N,natH,Prochlorococcus MIT9313,PMT0894,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.550119133,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0508,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.541554356,1.0,not_significant
N,urtE,Prochlorococcus MIT9313,PMT2225,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.53869476,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0993,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.533409089,1.0,not_significant
P,sqdB,Prochlorococcus MIT9313,PMT0050,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.523154228,1.0,not_significant
N,natH,Prochlorococcus MIT9313,PMT0894,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.522500166,1.0,not_significant
P,ppA,Prochlorococcus MIT9313,PMT1257,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-0.517594035,1.0,not_significant
P,gap3,Prochlorococcus MIT9313,PMT1000,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.514924621,1.0,not_significant
N,urtC,Prochlorococcus MIT9313,PMT2227,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.506592007,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0995,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.502896159,1.0,not_significant
N,ureC,Prochlorococcus MIT9313,PMT2236,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.501829283,1.0,not_significant
P,phnE,Prochlorococcus MIT9313,PMT0782,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.499151317,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0996,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.489135138,1.0,not_significant
N,ureF,Prochlorococcus MIT9313,PMT2231,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.482496168,1.0,not_significant
P,pstB,Prochlorococcus MIT9313,PMT0700,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.482140985,1.0,not_significant
N,ureB,Prochlorococcus MIT9313,PMT2235,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.481765038,1.0,not_significant
N,ureC,Prochlorococcus MIT9313,PMT2236,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.481409763,1.0,not_significant
P,pstB,Prochlorococcus MIT9313,PMT0700,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.44422998,1.0,not_significant
P,phnE,Prochlorococcus MIT9313,PMT0782,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.425814131,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0993,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.420478118,1.0,not_significant
N,urtD,Prochlorococcus MIT9313,PMT2226,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.414622462,1.0,not_significant
N,urtC,Prochlorococcus MIT9313,PMT2227,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.399922956,1.0,not_significant
N,ureA,Prochlorococcus MIT9313,PMT2234,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.399675994,1.0,not_significant
P,phnC,Prochlorococcus MIT9313,PMT0781,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.388811011,1.0,not_significant
P,arsR,Prochlorococcus MIT9313,PMT1001,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.385319365,1.0,not_significant
N,ureD,Prochlorococcus MIT9313,PMT2233,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.385196731,1.0,not_significant
N,nadB,Prochlorococcus MIT9313,PMT0177,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.379964297,1.0,not_significant
N,natH,Prochlorococcus MIT9313,PMT0894,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,-0.378913656,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0995,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.375871119,1.0,not_significant
N,glsF,Prochlorococcus MIT9313,PMT1777,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.37526942,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0996,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.372071483,1.0,not_significant
P,ppK,Prochlorococcus MIT9313,PMT2245,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.368258757,1.0,not_significant
P,phnD,Prochlorococcus MIT9313,PMT0780,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.367225673,1.0,not_significant
P,ppX,Prochlorococcus MIT9313,PMT1327,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.365387245,1.0,not_significant
P,sqdB,Prochlorococcus MIT9313,PMT0050,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.359167483,1.0,not_significant
P,gap3,Prochlorococcus MIT9313,PMT1000,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.358829569,1.0,not_significant
P,gap3,Prochlorococcus MIT9313,PMT1000,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.358523025,1.0,not_significant
P,phoB,Prochlorococcus MIT9313,PMT0994,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.343815913,1.0,not_significant
N,focA,Prochlorococcus MIT9313,PMT2240,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.343731738,1.0,not_significant
N,urtD,Prochlorococcus MIT9313,PMT2226,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.3295864,1.0,not_significant
P,phoB,Prochlorococcus MIT9313,PMT0994,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.327535737,1.0,not_significant
P,pstC,Prochlorococcus MIT9313,PMT0702,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.320751454,1.0,not_significant
P,arsR,Prochlorococcus MIT9313,PMT1001,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.319753217,1.0,not_significant
P,pstA,Prochlorococcus MIT9313,PMT0701,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.316548478,1.0,not_significant
P,ppX,Prochlorococcus MIT9313,PMT1327,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.313043397,1.0,not_significant
N,ureG,Prochlorococcus MIT9313,PMT2230,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.307410365,1.0,not_significant
N,ureG,Prochlorococcus MIT9313,PMT2230,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.306956833,1.0,not_significant
P,ppK,Prochlorococcus MIT9313,PMT2245,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.306659719,1.0,not_significant
N,ureD,Prochlorococcus MIT9313,PMT2233,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.303180727,1.0,not_significant
N,urtC,Prochlorococcus MIT9313,PMT2227,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.29992446,1.0,not_significant
N,ureF,Prochlorococcus MIT9313,PMT2231,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.299775433,1.0,not_significant
N,urtD,Prochlorococcus MIT9313,PMT2226,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.298650219,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0993,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.298335422,1.0,not_significant
P,pstB,Prochlorococcus MIT9313,PMT0700,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.297895945,1.0,not_significant
N,ureE,Prochlorococcus MIT9313,PMT2232,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.29597346,1.0,not_significant
P,ppK,Prochlorococcus MIT9313,PMT2245,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.293500872,1.0,not_significant
N,ureE,Prochlorococcus MIT9313,PMT2232,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,0.292882745,1.0,not_significant
P,pstA,Prochlorococcus MIT9313,PMT0043,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.292881786,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0997,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,48h,0.285576452,1.0,not_significant
P,gap3,Prochlorococcus MIT9313,PMT1000,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,0.284542293,1.0,not_significant
P,arsR,Prochlorococcus MIT9313,PMT1001,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.283304568,1.0,not_significant
N,urtE,Prochlorococcus MIT9313,PMT2225,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.282436123,1.0,not_significant
P,pstA,Prochlorococcus MIT9313,PMT0701,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.278446436,1.0,not_significant
P,pstA,Prochlorococcus MIT9313,PMT0701,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.275020301,1.0,not_significant
P,phnE,Prochlorococcus MIT9313,PMT0782,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,-0.273070386,1.0,not_significant
N,gdhA,Prochlorococcus MIT9313,PMT0623,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.263861895,1.0,not_significant
N,glnA,Prochlorococcus MIT9313,PMT0601,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.262190069,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0508,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,0.260837613,1.0,not_significant
P,phoR,Prochlorococcus MIT9313,PMT_0996,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.257595644,1.0,not_significant
P,pstS,Prochlorococcus MIT9313,PMT0508,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,-0.256669886,1.0,not_significant
N,ureF,Prochlorococcus MIT9313,PMT2231,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,-0.253882399,1.0,not_significant
