n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
P,ppK,Prochlorococcus MED4,PMM1696,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.201471010843913,0.610409549745909,not_significant
P,phnE,Prochlorococcus MED4,PMM0671,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.197601000467936,0.706669019522496,not_significant
P,ppA,Prochlorococcus MED4,PMM0494,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.194017728169764,0.362474623254085,not_significant
P,arsR,Prochlorococcus MED4,PMM0714,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.192652804,1.0,not_significant
P,pstS,Prochlorococcus MED4,PMM0710,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.18218199412028,0.49496873506977,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.180290545,1.0,not_significant
N,thiO,Prochlorococcus MED4,PMM0047,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.180026145,1.0,not_significant
N,cynA,Prochlorococcus MED4,PMM0370,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.179190317789714,0.325896237804782,not_significant
N,cynD,Prochlorococcus MED4,PMM0372,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.178495928,1.0,not_significant
P,phoB,Prochlorococcus MED4,PMM0705,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.167838437,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,-0.166290601094565,0.816668469327331,not_significant
N,ureE,Prochlorococcus MED4,PMM0967,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.165201505025227,0.793443999717033,not_significant
N,cynD,Prochlorococcus MED4,PMM0372,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.149610837300618,0.615644105598699,not_significant
P,ppX,Prochlorococcus MED4,PMM0457,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.147847532,1.0,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,-0.146049181620283,0.700094286013543,not_significant
P,ppK,Prochlorococcus MED4,PMM1696,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.140701182,1.0,not_significant
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.135752234,1.0,not_significant
N,ureC,Prochlorococcus MED4,PMM0963,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.130043529,1.0,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,0.13,0.75,not_significant
N,urtC,Prochlorococcus MED4,PMM0972,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.126638336,1.0,not_significant
P,gap3,Prochlorococcus MED4,PMM0713,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.125673352,1.0,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-0.12,1.0,not_significant
P,ppA,Prochlorococcus MED4,PMM0494,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.111374855041508,0.708154480356312,not_significant
P,ppK,Prochlorococcus MED4,PMM1696,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.108326594034831,0.715910161566658,not_significant
