group,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
positive_control_P,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,1.513,0.4544,not_significant
positive_control_P,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,1.455,0.1464,not_significant
positive_control_P,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.336,0.4679,not_significant
positive_control_P,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.241,0.4769,not_significant
positive_control_P,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,1.202,0.3275,not_significant
positive_control_P,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,1.142,0.4626,not_significant
positive_control_P,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,-1.083,0.5734,not_significant
positive_control_P,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,-1.055,0.6412,not_significant
positive_control_P,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.041,0.6121,not_significant
positive_control_P,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,1.01,0.7034,not_significant
positive_control_P,Prochlorococcus MIT9312,PMT9312_0720,10.1186/2046-9063-8-7_pi_limitation_mit9312_itraq,PROTEOMICS,stationary,3.2250368285170405,,significant_up
positive_control_P,Prochlorococcus MIT9312,PMT9312_0722,10.1186/2046-9063-8-7_pi_limitation_mit9312_itraq,PROTEOMICS,stationary,1.7331539556651812,,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0439,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,59h,6.75,0.03,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0439,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,46h,5.26,1.0,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0439,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,24h,4.96,0.88,not_significant
positive_control_P,Prochlorococcus NATL2A,PMN2A_0441,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,59h,4.86,8.38e-06,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0441,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,46h,4.47,0.04,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0441,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,24h,4.03,0.00054,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0436,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,59h,3.06,6.3e-11,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0436,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,24h,2.94,5.73e-14,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0437,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,4h,2.84,1.3e-19,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0436,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,46h,2.6,0.000817,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0436,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,4h,2.58,4.58e-12,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0437,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,24h,2.32,1.62e-08,significant_up
positive_control_P,Prochlorococcus NATL2A,PMN2A_0436,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,RNASEQ,59h (P added),2.14,0.000385,significant_up
